"","Hc.a","Hw.a","SE_Hw.a"
"Germany, Berlin",0.725603779937431,0.711537234323,0.0411361446933436
"Switzerland, Geneva",0.844529549708102,0.818033045297105,0.0417909006177139
"Switzerland, Basel",0.664150139831072,0.71990825822259,0.0417707194389093
"France, Paris",0.87277947869725,0.80190242120736,0.0420343480590313
"Sweden, Stockholm",0.613626925311122,0.632090128831666,0.0410492024557674
"Italy, Milan",0.85112600835713,0.825766794381519,0.0428471189973785
"Czech Republic, Prague",0.7450505836776,0.716060985654407,0.0434331436033823
"Hungary, Budapest",0.682182415975797,0.662524205753179,0.0431839017341743
"Denmark, Copenhagen",0.816792190723846,0.752821918356335,0.0452975100914401
