"Theoretical","simulated","sd_simulated","Moberg","Lag","CI_inf","CI_sup"
0.866065983073615,0.863480966351776,0.0189329542279511,0.95165426541096,1,0.828200074617713,0.903931891529517
0.7996811031362,0.795649438989544,0.0282101388446775,0.861262359017259,2,0.743260825446845,0.856101380825555
0.766844350875748,0.762158388160266,0.0328553871757595,0.803524770434348,3,0.701133576524229,0.832555125227267
0.74475308805525,0.739956305980892,0.035554963676625,0.782510780108873,4,0.673643160702,0.8158630154085
0.728164880752243,0.723182252072753,0.0377865387606464,0.77130459612362,5,0.65259180323095,0.803737958273536
0.714927879533663,0.709687593412377,0.0394448548684039,0.760567276878986,6,0.636038169796855,0.793817589270471
0.703943675143231,0.698704849600674,0.0405838892956543,0.751845971703342,7,0.622775896551922,0.785111453734539
0.694575607319852,0.689140839184972,0.0417732550783159,0.744420059379902,8,0.61102909716322,0.778122117476483
0.686421917034934,0.680766562571971,0.0427192990394099,0.737398263839638,9,0.600983318956115,0.771860515113754
0.679213031765904,0.673459369616202,0.0436267250429684,0.731646873907717,10,0.591959581679968,0.766466481851841
0.67275944751448,0.667161264745376,0.044648666300107,0.726297603466924,11,0.583462114914266,0.762056780114694
0.666922972348139,0.661229604210236,0.0451802835485375,0.720030418403471,12,0.576562405251064,0.757283539445214
0.661599800486684,0.655993635685112,0.0456573490071116,0.71511191724126,13,0.570285102472461,0.752914498500907
0.656710022808042,0.65111611079695,0.0460838673688402,0.714400178139867,14,0.564542288070362,0.748877757545722
0.65219084626645,0.646643153836008,0.0465814216205262,0.715789032380924,15,0.559028003025397,0.745353689507502
0.647992053888217,0.64240074394513,0.047168783340939,0.715987842577152,16,0.553654487206339,0.742329620570095
0.644072872941663,0.638154129265859,0.0473712195126097,0.716491101212701,17,0.549330433916444,0.738815311966883
0.640399758425502,0.634242307858501,0.0476293065438358,0.718331370376784,18,0.545141145337831,0.735658371513174
0.636944789037443,0.630977222979304,0.0482287535674452,0.717866284804169,19,0.540487281902553,0.733402296172334
0.633684483474866,0.627852673250114,0.0485217795980528,0.713747417767933,20,0.53664092427876,0.730728042670972
0.630598911690157,0.624463187374497,0.0489199170254917,0.708972881094075,21,0.532759077639174,0.728438745741141
0.62767101724296,0.621299203252887,0.0492405344277068,0.70505330398285,22,0.529189948387547,0.726152086098374
0.624886093420258,0.618198566292131,0.0497350992476883,0.700744975578156,23,0.525415894924882,0.724356291915635
0.622231373149617,0.615287562322375,0.0499487819132795,0.695344778965878,24,0.522333809323058,0.722128936976176
0.619695704338909,0.612361883204335,0.0499650241340856,0.69042439439568,25,0.519765656070738,0.71962575260708
0.617269290185163,0.609981300479202,0.0498089470611466,0.687409135346914,26,0.51765139606287,0.716887184307457
0.61494347948377,0.607491954598026,0.0500357997644309,0.685444513938346,27,0.514871879954908,0.715015079012632
0.612710595839815,0.605401930124036,0.0502402767501275,0.68485414365812,28,0.51223004233956,0.71319114934007
0.61056379744781,0.603225533962181,0.0506801546292151,0.687139261906755,29,0.50920348818938,0.71192410670624
0.608496961117794,0.601046607463036,0.050942748028817,0.689203280581114,30,0.50661146506016,0.710382457175428
0.606504585696143,0.599349576737445,0.0510351493593502,0.685716942461684,31,0.504434286977443,0.708574884414844
0.604581711121739,0.597415800192055,0.0514267447413691,0.678399025172695,32,0.501728221639001,0.707435200604477
0.60272385018601,0.595468421946231,0.05161922445118,0.67363771912992,33,0.49948540128365,0.70596229908837
0.600926930679236,0.593691270523252,0.0517644775436322,0.672578880654539,34,0.497397975591972,0.704455885766501
0.5991872460894,0.592099612013814,0.0519398191064488,0.673258755303725,35,0.495307607876502,0.703066884302298
0.59750141338219,0.590527923808043,0.0522218398786299,0.676190377881102,36,0.49305773362493,0.70194509313945
0.595866336679023,0.588990467779787,0.0521561215513697,0.679132059767114,37,0.491554093576284,0.700178579781763
0.594279175874533,0.587314044188316,0.052281475719817,0.67598381899973,38,0.489716224434899,0.698842127314167
0.59273731940948,0.585967276511561,0.052319729909136,0.66745892799417,39,0.488097859591208,0.697376779227752
0.591238360558009,0.584429839109974,0.0523662596251771,0.663156416782019,40,0.486505841307655,0.695970879808363
