"","Mu_c","Mu_ML","Sigma_c","Sigma_ML","H_c","H_ML","Alpha_c","Q_Stat","Mean","Sd"
"803",0.240100936014007,0.298380680001547,0.825184161441168,0.823916710069806,0.854958509491668,0.891911686693783,1.99991966476543,2.52683992606069,0.234661800866314,0.905685788717863
"804",-0.24310013458916,-0.369361672313543,1.00887593874935,1.04163819545868,0.932439010570793,0.911817074524318,1.99819433213356,-0.884370220170256,-0.243876987553851,1.01311647496493
"805",-0.406424250699441,-0.279189188646717,0.927605895823427,0.956337703448549,0.915282366059429,0.901127788724533,1.99955803301823,0.739360340827526,-0.407021371003533,0.969776711432823
"806",-0.696983648745504,-0.71129860323383,0.753476316156537,0.7362430249063,0.833362467442018,0.901303305766738,1.99952160570546,1.04142873298144,-0.693170775891607,0.858069081167815
"807",0.31332873215102,0.262386268269676,0.775988725385209,0.767582113414593,0.86053322842723,0.921547582092264,1.99987642119896,-0.969813310725755,0.31246128575672,0.874904186014456
"808",-0.676074770448021,-0.633064904914006,0.87061880126528,0.866831059830404,0.871084495623845,0.899247670525992,2.00043736017193,1.17881294576481,-0.670893308260584,0.930501471371628
"809",-0.189917465898055,-0.265005119619187,0.744115891631335,0.740141152079612,0.841433709936725,0.888158395659473,1.99978163350591,0.664726075581227,-0.189271407402642,0.857188977638657
"810",0.308818890615982,0.391461370535463,0.817219848845081,0.822426193231806,0.870887070605822,0.901318191370896,1.99979765520951,0.325400162276683,0.311290375998012,0.903552438085841
"811",-0.374905945568479,-0.464634746209308,0.882768819175701,0.884863069558617,0.881639111481367,0.914743282475009,2.00187709199873,-1.12471008869512,-0.374504273625104,0.936577896679523
"812",0.542254704191125,0.5360723443354,0.815628287284232,0.804970752083669,0.874433004938104,0.923854066286934,2.00234307911491,-1.94718541529607,0.543439024566974,0.897395756440754
"813",1.01720578492878,0.947235768985323,0.752075801679221,0.754214251551766,0.867814236371917,0.905858831126391,1.99892177755361,-1.07128810405028,1.01295243344601,0.866181682395435
"814",-0.268474798243197,-0.265336109850324,0.911740211158205,0.913236645910199,0.885471440716847,0.908154977272097,2.00135454596475,0.299759547733377,-0.271871327076128,0.955850805422648
"815",-0.357054022751922,-0.374020739644141,0.816191336500107,0.81340850028978,0.885039220868049,0.895175452258758,2.00053683615261,-1.85607854897833,-0.35878139479187,0.901988389163267
"816",-0.195866040536638,-0.216868126369467,0.836703976983479,0.822422839727172,0.865375111122391,0.918737394979245,2.00082474142824,-0.887934680570414,-0.189800605069711,0.906697987004316
"817",0.503698035683021,0.536573107949942,0.833708244926516,0.826139378505137,0.867744294477103,0.917534476449854,2.0003407483075,0.114522819246647,0.505192229536002,0.908607397436563
"818",-0.282008431374521,-0.261018687489735,0.807387351909494,0.811934045531799,0.875535434441947,0.88890601570098,2.00083662636492,0.498845991269988,-0.280313881345202,0.901092517385603
"819",0.232503731576678,0.260359617491971,0.825335875050949,0.83140010646971,0.868254258443297,0.876676617039926,1.99984702102419,1.78794084679535,0.233233073201005,0.911635780870311
"820",-0.157094305118641,-0.131491372202627,0.746913529283931,0.751312437928145,0.867563231373789,0.881415214236424,2.00042135870987,-1.09930582018628,-0.157899559400028,0.866597104107506
"821",0.664501862204525,0.754220956612112,0.708923391722309,0.711709964195992,0.848619057107054,0.903697742359752,1.99937650455604,-0.988138213974778,0.661697538714642,0.838749743309954
"822",-0.186240946240372,-0.207429548744577,0.852627471052801,0.84608355810524,0.884949647585402,0.940580743871504,1.99920530648152,-1.05604742892602,-0.184885361662779,0.919781668056342
"823",0.0375434072689441,0.0326229156736546,0.838369569582639,0.828315125765398,0.868993999864846,0.904005298670759,2.0018605626555,-1.14123238315745,0.0430420621416846,0.91028615148813
"824",-0.251204844559492,-0.100344161490622,0.928333086648513,0.945533964114111,0.873700152600588,0.916008387599394,2.00130309950594,2.09452402802038,-0.255306949579256,0.960198671716687
"825",0.332780708133833,0.438707066823052,0.890670307268199,0.904705988164674,0.888940177007251,0.894785707918462,2.00046328511612,1.26979044111783,0.331057773164458,0.945285353710428
"826",-0.458390242899728,-0.424790238579009,0.754570544276253,0.743635078691207,0.845983902160954,0.904356569473446,2.00075906248527,1.0128874010193,-0.460184166290966,0.861831610835345
