"","Mu","Sigma","Hc","Hw","SE_Hw","Alpha"
"Germany, Berlin",0.00964077599836311,0.988773796411701,0.664227024119885,0.66179359955245,0.0117444311130453,1.98922319767588
"Switzerland, Geneva",0.00405775081207811,0.966661526962623,0.693343982957303,0.667497833441912,0.0117694767624422,1.99121341582578
"Switzerland, Basel",0.00520653033620684,0.976680304001988,0.624704565972533,0.622268729732651,0.011775784032295,1.98222752919262
"France, Paris",0.00440090120393022,0.943747687364785,0.732614767608545,0.672214020309482,0.0118715578743845,1.99538328720494
"Sweden, Stockholm",0.00580724473698453,1.03431892328689,0.68136040000952,0.721325612117776,0.012062385444198,2.00537409445904
"Italy, Milan",0.00208780051605637,0.974870610979417,0.724040307092756,0.709114214281375,0.0121287869839417,1.97586510452664
"Czech Republic, Prague",0.0081515799250273,0.977924122572211,0.683704209267667,0.670193916314269,0.012424701890676,1.9874834702237
"Hungary, Budapest",0.00558794930498927,1.01819286351795,0.626983256946213,0.64499224236493,0.0123845270708424,1.99683179722358
"Denmark, Copenhagen",0.00557075720374462,1.00197994736867,0.754500674092801,0.758248319960693,0.0130880003858217,2.00067805045734
