1961	-8.90	-6.60	-5.00	-2.80	4.30	14.70	16.30	12.50	7.20	5.92	-1.90	-11.50
1962	-11.70	-9.20	-12.70	0.50	5.20	9.80	11.80	10.40	6.40	1.30	-2.40	-13.00
1963	-13.70	-13.70	-11.30	0.00	10.60	10.60	13.30	13.10	9.30	1.60	-5.90	-9.20
1964	-6.30	-12.70	-7.10	-1.50	6.20	10.30	14.40	12.00	5.80	3.60	-5.60	-9.10
1965	-10.50	-11.30	-8.20	-0.40	2.80	11.60	12.60	10.90	8.40	0.80	-9.20	-12.40
1966	-18.50	-20.70	-12.90	-3.30	5.40	14.30	14.70	11.60	4.30	-1.10	-2.00	-9.60
1967	-17.30	-8.50	-2.70	-0.10	5.80	11.50	14.20	14.60	8.70	1.10	-0.20	-17.10
1968	-17.80	-14.40	-6.50	-1.10	3.00	12.60	12.50	11.70	4.60	-5.22	-6.50	-5.30
1969	-13.80	-16.50	-9.30	-1.90	3.10	11.90	15.00	14.90	6.00	1.70	-5.50	-9.41
1970	-12.40	-17.40	-5.20	-3.30	5.30	15.20	15.70	13.60	6.90	0.80	-8.10	-7.80
1971	99	99	99	99	99	99	99	99	99	99	99	99
1972	99	99	99	99	99	99	99	99	99	99	99	99
1973	99	99	99	99	99	99	99	99	99	99	99	99
1974	99	99	99	99	99	99	99	99	99	99	99	99
1975	99	99	99	99	99	99	99	99	99	99	99	99
1976	99	99	99	99	99	99	99	99	99	99	99	99
1977	99	99	99	99	99	99	99	99	99	99	99	99
1978	99	99	99	99	99	99	99	99	99	99	99	99
1979	99	99	99	99	99	99	99	99	99	99	99	99
1980	99	99	99	99	99	99	99	99	99	99	99	99
1981	-10.60	-13.50	-12.10	-1.80	6.60	9.30	14.50	10.60	6.60	1.30	-5.30	-16.30
1982	99	99	-4.80	-0.50	4.80	8.30	15.10	11.80	7.10	0.30	-2.60	-7.10
1983	-8.60	-11.10	-5.80	1.30	7.80	11.60	14.80	11.10	8.30	0.60	99	-11.80
1984	-12.30	-7.10	-8.50	0.30	9.80	12.31	13.60	11.60	6.00	0.80	-6.11	-6.80
1985	-21.00	-20.61	-6.30	-2.80	3.80	12.10	15.10	13.00	7.10	1.60	-7.10	-17.10
1986	-16.60	-13.30	-3.60	99	6.30	14.80	14.80	9.50	4.10	2.30	-1.30	-15.10
1987	-19.10	-13.60	-8.60	-1.10	5.50	11.30	13.30	9.80	6.60	5.52	-7.30	-13.10
1988	-10.10	-10.80	-6.60	-2.50	7.10	14.10	17.80	12.60	8.60	1.00	-8.60	-12.60
1989	-7.50	-7.00	-2.10	2.30	7.60	13.80	14.10	12.80	8.10	-0.30	-4.30	-10.50
1990	-14.10	-2.10	-4.60	1.60	5.80	11.60	14.60	13.30	6.10	0.80	99	99
