1998	9.70	10.00	13.30	17.00	23.60	27.80	28.60	28.30	27.00	20.30	15.00	10.90	18.97
1999	11.10	12.30	12.50	20.80	22.00	26.40	27.80	28.90	23.90	18.40	13.40	9.20	19.03
2000	9.50	12.50	15.60	16.40	24.20	25.90	28.70	29.50	24.70	18.90	11.20	3.60	18.86
2001	5.30	12.00	11.20	20.00	22.50	25.00	27.50	27.00	23.40	16.70	15.30	11.10	17.46
2002	9.50	7.80	13.90	19.80	22.50	25.90	27.80	27.30	25.90	19.80	11.30	8.60	18.55
2003	5.00	8.60	13.90	18.40	23.40	25.60	27.00	27.80	23.60	18.70	15.00	7.50	17.97
2004	8.30	8.10	15.90	17.20	22.80	25.60	27.00	25.30	24.40	22.30	15.00	8.10	18.28
2005	10.60	11.20	12.80	17.20	21.30	26.00	28.10	28.30	25.70	18.30	13.90	7.30	18.46
2006	11.30	8.70	14.40	20.50	22.70	26.60	28.00	28.90	23.80	18.50	12.20	10.30	18.57
2007	8.50	8.90	16.50	16.70	23.00	27.30	26.60	29.6	25.6	19.9	13.9	12.0	18.90
2008	7.3	11.3	14.6	18.1	22.6	27.0	28.3	26.3	24.0	17.7	11.8	10.0	18.42
2009	8.7	11.3	14.7	17.8	23.0	27.6	27.2	26.7	25.1	17.4	12.9	7.5	18.53
2010	5.4	4.9	12.1	19.2	24.5	28.4	28.6	29.2	25.8	19.4	13.8	7.3	18.23
2011	6.6	10.4	15.0	20.4	22.2	28.6	29.1	29.7	23.1	16.8	13.8	9.9	18.58
2012	11.6	12.4	19.1	19.3	24.0	26.5	28.5	27.2	24.3	17.6	11.5
