 99.9, 99.9, 99.9, 99.9, 99.9, 99.9,  5.9,  1.3,-10.6,-21.7,-27.3,-32.4,//1950
-36.4,-34.3,-30.4,-24.1,-10.8,  0.8,  1.7, -0.5, -8.3,-21.2,-25.2,-33.8,//1951
-33.4,-32.8,-33.9,-24.4, -7.0, -1.1,  3.7,  0.0,-10.4,-19.2,-26.3,-25.3,//1952
-30.8,-33.2,-32.2,-16.8,-10.9,  1.0,  4.9, -0.3, -8.4,-20.4,-24.7,-29.8,//1953
-34.1,-35.1,-35.8,-24.5, -9.1, -0.8,  5.6,  3.0, -6.7,-20.0,-25.1,-30.9,//1954
-30.3,-34.9,-34.1,-23.8,-14.7, -0.2,  0.6,  1.0, -9.0,-15.0,-26.7,-31.4,//1955
-33.8,-31.3,-34.9,-21.0,-17.0, -1.1,  6.1,  1.0,-12.9,-22.2,-26.3,-26.5,//1956
-34.4,-29.4,-28.5,-27.6,-12.2,  0.2,  5.2,  1.2,-10.1,-18.2,-27.6,-35.6,//1957
-24.6,-34.4,-29.9,-27.6, -9.0,  0.2,  4.4,  1.4, -8.0,-19.1,-28.7,-28.6,//1958
-31.6,-32.5,-32.5,-22.5,-12.6, -0.6,  2.2,  0.1,-12.4,-22.7,-21.2,-30.3,//1959
-29.0,-31.7,-36.2,-27.2, -9.6,  0.3,  5.0,  0.6, -8.8,-19.8,-26.5,-30.1,//1960
-32.4,-34.5,-36.6,-24.5,-15.3, -1.7,  4.9, -2.3,-12.5,-19.3,-23.3,-28.8,//1961
-31.9,-33.6,-28.8,-24.3,-11.7,  1.2,  5.6,  1.8,-10.3,-20.4,-24.6,-28.2,//1962
-32.8,-30.0,-33.2,-21.7,-13.7, -2.9,  2.7,  2.3,-12.1,-18.6,-24.5,-27.9,//1963
-33.4,-33.3,-31.6,-26.5,-13.2,  0.5,  2.6,  1.6,-11.5,-20.7,-28.7,-29.8,//1964
-31.7,-30.8,-31.1,-25.1, -9.6, -2.6,  2.5,  0.0,-11.1,-20.3,-18.7,-29.4,//1965
-33.1,-30.4,-36.7,-28.8, -8.6,  0.3,  3.5,  2.8,-10.4,-25.4,-29.2,-31.3,//1966
-31.0,-37.3,-33.1,-21.3, -5.2, -1.6,  5.3,  1.4, -9.6,-16.6,-29.6,-28.3,//1967
-33.7,-36.8,-33.1,-26.8,-10.9, -0.3,  2.1,  0.2, -9.9,-16.8,-30.4,-29.6,//1968
-29.8,-32.5,-35.3,-26.0,-10.1, -2.1,  3.9,  2.6, -9.8,-17.8,-28.1,-28.1,//1969
-33.1,-36.1,-31.7,-27.6,-12.1, -1.9,  2.8, -0.7, -9.0,-17.5,-25.7,-30.2,//1970
-34.2,-33.2,-29.5,-21.8,-11.9,  0.2,  3.9,  0.7, -9.9,-18.9,-27.3,-33.3,//1971
-30.8,-36.3,-31.8,-26.4,-13.9, -2.4,  1.8,  0.7, -9.9,-18.5,-25.3,-32.5,//1972
-29.8,-36.3,-36.6,-25.6,-12.6,  0.0,  2.9,  0.6,-11.7,-17.5,-25.7,-27.9,//1973
-34.6,-35.2,-34.9,-25.5,-12.4, -1.9,  3.1,  2.3,-10.5,-19.5,-25.4,-31.8,//1974
-37.7,-33.0,-35.2,-24.4,-13.3, -2.2,  4.0,  1.3,-11.1,-19.7,-27.2,-29.2,//1975
-29.2,-30.9,-32.0,-27.5,-15.3, -2.2,  2.6,  0.8, -8.2,-22.8,-29.2,-30.6,//1976
-26.3,-36.8,-37.4,-23.9,-13.1, -2.0,  2.2,  0.1,-10.6,-18.9,-29.6,-33.0,//1977
-32.8,-26.4,-34.0,-24.6,-10.5, -1.8,  4.5,  2.6,-10.3,-26.2,-29.4,-23.7,//1978
-32.2,-33.9,-32.0,-24.9,-10.6, -3.9,  3.3, -0.5, -9.8,-21.5,-27.2,-33.1,//1979
-31.6,-29.3,-31.3,-26.8,-12.1, -2.3,  3.1,  1.7,-11.5, 99.9,-30.6,-30.6,//1980
-28.2,-31.9,-32.7,-23.6,-10.4,  0.4,  3.1,  1.9, -6.9,-16.1,-22.6,-23.9,//1981
-30.2,-35.3,-30.8,-26.6,-12.1, -0.9,  3.1,  1.4,-10.5,-20.8,-27.1,-31.5,//1982
-32.8,-32.1,-33.0,-25.3,-12.1, -0.3,  2.1,  0.7, -8.2,-20.5,-26.7,-28.8,//1983
-33.6,-36.3,-34.6,-27.1,-11.1, -0.7,  4.4,  0.7, -8.6,-19.4,-27.1,-29.8,//1984
-30.5,-36.7,-33.8,-27.8,-13.2,  0.0,  3.8, -0.3, -7.8,-22.2,-28.0,-28.1,//1985
-35.9,-28.2,-36.2,-26.5,-10.6, -1.5,  3.0,  2.8, -8.9,-21.7,-27.8,-27.7,//1986
-29.7,-36.9,-35.4,-28.4,-14.6,  0.1,  2.5,  1.6, -6.9,-18.1,-29.8,-30.2,//1987
-32.3,-32.3,-30.2,-19.6,-10.4, -0.8,  3.9,  3.9, -8.1,-17.1,-27.2,-29.3,//1988
-35.1,-29.8,-35.0,-28.3,-13.5,  1.0,  4.4,  0.4, -8.9,-20.5,-26.6,-30.0,//1989
-29.6,-33.6,-29.8,-19.6, -7.9,  1.2,  3.8, -0.9, -9.5,-21.3,-31.3,-32.7,//1990
-34.6,-33.9,-28.6,-21.9, -9.9,  0.9,  3.9,  1.7, -7.9,-17.6,-24.3,-30.9,//1991
-34.6,-34.1,-29.6,-26.9,-13.2, -1.8,  2.8, -0.3, -8.5,-19.8,-27.9,-30.6,//1992
-32.1,-29.4,-32.6,-23.7,-10.6, -1.3,  5.1, -0.2,-11.7,-17.4,-27.4,-31.3,//1993
-33.7,-32.7,-34.1,-24.9,-10.6,  1.6,  3.8,  1.8, -6.8,-17.2,-23.0,-30.8,//1994
-33.6,-33.7,-34.0,-15.4, -9.8, -0.5,  2.0,  1.7, -5.7,-19.1,-25.1,-32.5,//1995
-32.1,-29.8,-30.8,-21.9, -9.3, -0.6,  2.8, -0.2,-10.2,-19.7,-20.1,-26.7,//1996
-33.5,-34.0,-27.7,-22.1,-12.2, -2.1,  2.5, -1.1, -9.7,-19.4,-23.3,-29.4,//1997
-31.4,-33.4,-28.4,-22.0,-11.9,  1.1,  4.6,  1.5, -6.9,-17.6,-21.2,-29.1,//1998
-33.4,-32.0,-29.9,-22.7,-12.5, -1.8,  3.5, -1.8, -8.8,-18.8,-23.0,-33.5,//1999
-34.2,-34.3,-31.6,-25.5,-12.7,  2.4,  3.5,  0.5,-10.9,-18.0,-26.2,-28.0,//2000
-31.4,-34.7,-37.0,-26.2, 99.9, -0.5,  2.9,  1.2, 99.9, 99.9, 99.9, 99.9,//2001
-32.0, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9, 99.9,//2002
