  270,20110201,  206,   49,   50,   70,   10,   30,   19,  110,    9,    3,  -10,    6,   32,   21,  -11,    6,    0,    0,  142,   22,   10,    5,   17,10234,10250,    1,10216,   14,    1,   22,   58,    1,    8,   94,  100,   19,   88,    1,    2,
  270,20110202,  215,   67,   68,   90,   12,   30,    1,  150,   19,   33,    8,    1,   49,   24,    7,    6,    0,    0,  133,   17,   13,    7,   23,10227,10253,    8,10183,   24,    1,    1,   57,   18,    8,   99,  100,    1,   98,   16,    2,
  270,20110203,  236,   64,   68,   90,    1,   40,    7,  140,    2,   48,   24,   18,   68,   12,   14,   18,   53,   58,  511,    0,   -1,   -1,    1,10198,10221,   11,10142,   24,   28,    3,   64,    8,    4,   91,   99,    1,   81,   11,    6,
  270,20110204,  233,  128,  129,  150,   16,  100,    1,  230,    4,   82,   49,    1,   91,   16,   46,    6,    0,    0,   68,   46,   20,    8,    2,10104,10125,    1,10098,   16,   37,    6,   65,    3,    8,   88,   94,    1,   86,    3,    1,
  270,20110205,  240,  138,  138,  150,    9,  130,    2,  240,   13,   93,   87,    1,   99,   11,   84,    6,    0,    0,  116,    0,   -1,   -1,   22,10120,10143,   24,10099,    2,   58,    7,   62,   12,    8,   86,   89,   24,   83,   11,    2,
  270,20110206,  237,  119,  120,  140,    1,  100,   16,  220,    2,   88,   79,   20,   99,   14,   75,   24,   13,   14,  316,    9,    3,    2,    2,10163,10174,   24,10146,    1,   56,    2,   68,   21,    8,   87,   93,    2,   81,   21,    4,
  270,20110207,  234,   94,  100,  150,   19,   70,   22,  230,   19,   74,   58,   24,   91,   19,   51,   24,    0,    0,  200,    0,    0,    0,    1,10129,10173,    1,10071,   16,   59,   19,   75,    8,    8,   82,   87,   24,   75,   20,    3,
  270,20110208,  265,   42,   44,   70,    1,   20,   18,  100,    1,   40,   -9,   23,   78,   13,  -28,   24,   80,   85,  672,    0,    0,    0,    1,10212,10242,   19,10146,    1,    1,   22,   68,   11,    2,   90,  100,   23,   79,   13,    8,
  270,20110209,  170,   33,   34,   60,   24,   10,    3,   90,   24,   38,  -14,    6,   88,   14,  -20,   12,   63,   67,  579,    0,    0,    0,    1,10212,10238,    1,10171,   24,    1,    1,   65,   14,    6,   85,  100,    1,   66,   14,    7,
  270,20110210,  227,   35,   43,   70,   14,   20,   22,  110,   14,   56,   21,    4,   79,   14,   15,    6,    0,    0,  114,   74,   43,   14,   17,10131,10167,    1,10101,   23,    2,   21,   64,    1,    8,   96,  100,   22,   78,    1,    1,
  270,20110211,   24,   16,   26,   60,   22,   10,    3,  100,   24,   44,   21,   24,   61,   13,   17,   24,   24,   25,  396,    0,    0,    0,    1,10127,10174,   24,10098,    4,   56,    3,   75,   23,    8,   93,   98,    1,   79,   23,    5,
  270,20110212,  127,   55,   68,   90,    9,   40,   20,  150,   11,   21,    9,    7,   57,   22,    5,    6,    0,    0,  143,   83,   70,   20,   12,10131,10175,    2,10096,   20,    6,   21,   75,    1,    8,   90,  100,   21,   77,    2,    2,
